Ano,Mês,Grupo Mercadoria,Carga Ferroviária
2007,9,Outras Mercadorias,297644
2007,9,Minério de Ferro,26601356
2007,9,"Setor Agrícola, Extração Vegetal e Celulose",3996882
2007,10,"Combustíveis, Derivados do Petróleo e Álcool",870695
2007,10,"Indústria Siderúrgica, Cimento e Construção Civil",4674877
2007,10,Minério de Ferro,26889106
2007,10,"Setor Agrícola, Extração Vegetal e Celulose",4003298
2007,10,Outras Mercadorias,323323
2007,11,"Setor Agrícola, Extração Vegetal e Celulose",3260385
2007,11,"Indústria Siderúrgica, Cimento e Construção Civil",4422311
2007,11,Outras Mercadorias,293279
2007,11,Minério de Ferro,25674313
2007,11,"Combustíveis, Derivados do Petróleo e Álcool",780388
2007,12,"Indústria Siderúrgica, Cimento e Construção Civil",4680209
2007,12,"Combustíveis, Derivados do Petróleo e Álcool",768170
2007,12,Minério de Ferro,28346079
2007,12,Outras Mercadorias,311627
2007,12,"Setor Agrícola, Extração Vegetal e Celulose",2435856
2008,1,"Indústria Siderúrgica, Cimento e Construção Civil",4512057
2008,1,Outras Mercadorias,331947
2008,1,"Combustíveis, Derivados do Petróleo e Álcool",811094
2008,1,Minério de Ferro,26806978
2008,1,"Setor Agrícola, Extração Vegetal e Celulose",2098867
2008,2,Outras Mercadorias,307951
2008,2,"Combustíveis, Derivados do Petróleo e Álcool",780067
2008,2,"Setor Agrícola, Extração Vegetal e Celulose",2592577
2008,2,"Indústria Siderúrgica, Cimento e Construção Civil",4118742
2008,2,Minério de Ferro,25229110
2008,3,Outras Mercadorias,284779
2008,3,"Setor Agrícola, Extração Vegetal e Celulose",3766528
2008,3,"Indústria Siderúrgica, Cimento e Construção Civil",4396523
2008,3,Minério de Ferro,26140288
2008,3,"Combustíveis, Derivados do Petróleo e Álcool",851693
2008,4,"Setor Agrícola, Extração Vegetal e Celulose",3714200
2008,4,Minério de Ferro,25284216
2008,4,"Combustíveis, Derivados do Petróleo e Álcool",822536
2008,4,"Indústria Siderúrgica, Cimento e Construção Civil",4311976
2008,4,Outras Mercadorias,275794
2008,5,"Indústria Siderúrgica, Cimento e Construção Civil",4615719
2008,5,"Combustíveis, Derivados do Petróleo e Álcool",830220
2008,5,Outras Mercadorias,323364
2008,5,"Setor Agrícola, Extração Vegetal e Celulose",4108406
2008,5,Minério de Ferro,28504268
2008,6,Outras Mercadorias,335091
2008,6,"Combustíveis, Derivados do Petróleo e Álcool",844597
2008,6,Minério de Ferro,27828472
2008,6,"Indústria Siderúrgica, Cimento e Construção Civil",4798465
2008,6,"Setor Agrícola, Extração Vegetal e Celulose",3981172
2008,7,Minério de Ferro,28835870
2008,7,"Combustíveis, Derivados do Petróleo e Álcool",911665
2008,7,Outras Mercadorias,301372
2008,7,"Setor Agrícola, Extração Vegetal e Celulose",4091513
2008,7,"Indústria Siderúrgica, Cimento e Construção Civil",4914317
2008,8,Minério de Ferro,29494909
2008,8,"Combustíveis, Derivados do Petróleo e Álcool",920267
2008,8,"Indústria Siderúrgica, Cimento e Construção Civil",4982020
2008,8,"Setor Agrícola, Extração Vegetal e Celulose",3850031
2008,8,Outras Mercadorias,310594
2008,9,"Setor Agrícola, Extração Vegetal e Celulose",3590395
2008,9,Minério de Ferro,28871988
2008,9,Outras Mercadorias,331411
2008,9,"Indústria Siderúrgica, Cimento e Construção Civil",5086588
2008,9,"Combustíveis, Derivados do Petróleo e Álcool",924306
2008,10,"Setor Agrícola, Extração Vegetal e Celulose",3683323
2008,10,"Indústria Siderúrgica, Cimento e Construção Civil",4852949
2008,10,Outras Mercadorias,362756
2008,10,Minério de Ferro,28980145
2008,10,"Combustíveis, Derivados do Petróleo e Álcool",950165
2008,11,Minério de Ferro,20880029
2008,11,"Indústria Siderúrgica, Cimento e Construção Civil",3969475
2008,11,"Setor Agrícola, Extração Vegetal e Celulose",3350159
2008,11,"Combustíveis, Derivados do Petróleo e Álcool",834830
2008,11,Outras Mercadorias,291372
2008,12,Outras Mercadorias,236489
2008,12,"Indústria Siderúrgica, Cimento e Construção Civil",3585929
2008,12,Minério de Ferro,19453335
2008,12,"Setor Agrícola, Extração Vegetal e Celulose",3239697
2008,12,"Combustíveis, Derivados do Petróleo e Álcool",824411
2009,1,Minério de Ferro,19849712
2009,1,"Indústria Siderúrgica, Cimento e Construção Civil",3320621
2009,1,Outras Mercadorias,201161
2009,1,"Combustíveis, Derivados do Petróleo e Álcool",778411
2009,1,"Setor Agrícola, Extração Vegetal e Celulose",2751391
2009,2,"Combustíveis, Derivados do Petróleo e Álcool",743160
2009,2,Outras Mercadorias,421050
2009,2,Minério de Ferro,17601309
2009,2,"Setor Agrícola, Extração Vegetal e Celulose",2750893
2009,2,"Indústria Siderúrgica, Cimento e Construção Civil",3225250
2009,3,Outras Mercadorias,386857
2009,3,"Setor Agrícola, Extração Vegetal e Celulose",3736668
2009,3,"Combustíveis, Derivados do Petróleo e Álcool",930434
2009,3,"Indústria Siderúrgica, Cimento e Construção Civil",3471378
2009,3,Minério de Ferro,21199841
2009,4,"Setor Agrícola, Extração Vegetal e Celulose",4268429
2009,4,"Indústria Siderúrgica, Cimento e Construção Civil",2956799
2009,4,Minério de Ferro,21019734
2009,4,"Combustíveis, Derivados do Petróleo e Álcool",878977
2009,4,Outras Mercadorias,344448
2009,5,Minério de Ferro,20395012
2009,5,"Indústria Siderúrgica, Cimento e Construção Civil",3184657
2009,5,"Setor Agrícola, Extração Vegetal e Celulose",4495758
2009,5,"Combustíveis, Derivados do Petróleo e Álcool",880766
2009,5,Outras Mercadorias,242220
2009,6,Outras Mercadorias,531886
2009,6,"Setor Agrícola, Extração Vegetal e Celulose",4342812
2009,6,Minério de Ferro,23159062
2009,6,"Indústria Siderúrgica, Cimento e Construção Civil",3280677
2009,6,"Combustíveis, Derivados do Petróleo e Álcool",902281
2009,7,"Indústria Siderúrgica, Cimento e Construção Civil",3755293
2009,7,Outras Mercadorias,718397
2009,7,"Combustíveis, Derivados do Petróleo e Álcool",949274
2009,7,Minério de Ferro,24695252
2009,7,"Setor Agrícola, Extração Vegetal e Celulose",4490484
2009,8,Outras Mercadorias,372328
2009,8,"Setor Agrícola, Extração Vegetal e Celulose",3966328
2009,8,"Combustíveis, Derivados do Petróleo e Álcool",934292
2009,8,"Indústria Siderúrgica, Cimento e Construção Civil",4040581
2009,8,Minério de Ferro,26192327
2009,9,"Combustíveis, Derivados do Petróleo e Álcool",889704
2009,9,"Indústria Siderúrgica, Cimento e Construção Civil",4093649
2009,9,"Setor Agrícola, Extração Vegetal e Celulose",3580427
2009,9,Outras Mercadorias,387464
2009,9,Minério de Ferro,27285716
2009,10,"Setor Agrícola, Extração Vegetal e Celulose",3307933
2009,10,"Indústria Siderúrgica, Cimento e Construção Civil",4257530
2009,10,"Combustíveis, Derivados do Petróleo e Álcool",965892
2009,10,Outras Mercadorias,271108
2009,10,Minério de Ferro,24747862
2009,11,Outras Mercadorias,249057
2009,11,"Setor Agrícola, Extração Vegetal e Celulose",2894477
2009,11,Minério de Ferro,25102771
2009,11,"Combustíveis, Derivados do Petróleo e Álcool",869513
2009,11,"Indústria Siderúrgica, Cimento e Construção Civil",3891243
2009,12,Outras Mercadorias,264951
2009,12,"Indústria Siderúrgica, Cimento e Construção Civil",3854221
2009,12,"Combustíveis, Derivados do Petróleo e Álcool",851353
2009,12,"Setor Agrícola, Extração Vegetal e Celulose",2608084
2009,12,Minério de Ferro,26702151
2010,1,"Setor Agrícola, Extração Vegetal e Celulose",2611059
2010,1,Minério de Ferro,24310285
2010,1,"Combustíveis, Derivados do Petróleo e Álcool",804206
2010,1,Outras Mercadorias,225156
2010,1,"Indústria Siderúrgica, Cimento e Construção Civil",3896642
2010,2,Outras Mercadorias,229586
2010,2,"Setor Agrícola, Extração Vegetal e Celulose",3053446
2010,2,Minério de Ferro,23336433
2010,2,"Indústria Siderúrgica, Cimento e Construção Civil",3727015
2010,2,"Combustíveis, Derivados do Petróleo e Álcool",740299
2010,3,Minério de Ferro,24077072
2010,3,"Indústria Siderúrgica, Cimento e Construção Civil",4142664
2010,3,"Combustíveis, Derivados do Petróleo e Álcool",857834
2010,3,"Setor Agrícola, Extração Vegetal e Celulose",3971841
2010,3,Outras Mercadorias,244577
2010,4,Outras Mercadorias,207352
2010,4,"Combustíveis, Derivados do Petróleo e Álcool",758577
2010,4,"Setor Agrícola, Extração Vegetal e Celulose",4153497
2010,4,"Indústria Siderúrgica, Cimento e Construção Civil",4132292
2010,4,Minério de Ferro,24605940
2010,5,Minério de Ferro,27016282
2010,5,Outras Mercadorias,236526
2010,5,"Combustíveis, Derivados do Petróleo e Álcool",826917
2010,5,"Indústria Siderúrgica, Cimento e Construção Civil",4275409
2010,5,"Setor Agrícola, Extração Vegetal e Celulose",4457176
2010,6,"Combustíveis, Derivados do Petróleo e Álcool",819622
2010,6,Outras Mercadorias,195180
2010,6,"Setor Agrícola, Extração Vegetal e Celulose",4248168
2010,6,"Indústria Siderúrgica, Cimento e Construção Civil",4285066
2010,6,Minério de Ferro,27064441
2010,7,"Setor Agrícola, Extração Vegetal e Celulose",4694054
2010,7,"Indústria Siderúrgica, Cimento e Construção Civil",4497856
2010,7,Outras Mercadorias,235663
2010,7,"Combustíveis, Derivados do Petróleo e Álcool",866410
2010,7,Minério de Ferro,28866274
2010,8,Outras Mercadorias,248885
2010,8,"Combustíveis, Derivados do Petróleo e Álcool",834008
2010,8,Minério de Ferro,28857443
2010,8,"Indústria Siderúrgica, Cimento e Construção Civil",4351770
2010,8,"Setor Agrícola, Extração Vegetal e Celulose",4553934
2010,9,Outras Mercadorias,247414
2010,9,Minério de Ferro,29468042
2010,9,"Combustíveis, Derivados do Petróleo e Álcool",802186
2010,9,"Indústria Siderúrgica, Cimento e Construção Civil",4363091
2010,9,"Setor Agrícola, Extração Vegetal e Celulose",4352657
2010,10,"Combustíveis, Derivados do Petróleo e Álcool",843184
2010,10,"Indústria Siderúrgica, Cimento e Construção Civil",4325875
2010,10,Minério de Ferro,30560786
2010,10,Outras Mercadorias,242038
2010,10,"Setor Agrícola, Extração Vegetal e Celulose",4279038
2010,11,"Indústria Siderúrgica, Cimento e Construção Civil",4137674
2010,11,Minério de Ferro,28033751
2010,11,"Setor Agrícola, Extração Vegetal e Celulose",3922906
2010,11,"Combustíveis, Derivados do Petróleo e Álcool",887678
2010,11,Outras Mercadorias,242830
2010,12,"Indústria Siderúrgica, Cimento e Construção Civil",4051710
2010,12,"Setor Agrícola, Extração Vegetal e Celulose",3288029
2010,12,"Combustíveis, Derivados do Petróleo e Álcool",845440
2010,12,Outras Mercadorias,222450
2010,12,Minério de Ferro,28614736
2011,1,"Combustíveis, Derivados do Petróleo e Álcool",706568
2011,1,Minério de Ferro,26843633
2011,1,"Setor Agrícola, Extração Vegetal e Celulose",2713847
2011,1,"Indústria Siderúrgica, Cimento e Construção Civil",3837472
2011,1,Outras Mercadorias,207065
2011,2,Minério de Ferro,24093786
2011,2,"Combustíveis, Derivados do Petróleo e Álcool",753545
2011,2,"Setor Agrícola, Extração Vegetal e Celulose",2968634
2011,2,Outras Mercadorias,218950
2011,2,"Indústria Siderúrgica, Cimento e Construção Civil",3823937
2011,3,Minério de Ferro,25818782
