Ano,Mês,Grupo Mercadoria,Carga Ferroviária
2014,7,"Combustíveis, Derivados do Petróleo e Álcool",843567
2014,7,Outras Mercadorias,322042
2014,8,"Combustíveis, Derivados do Petróleo e Álcool",837277
2014,8,"Indústria Siderúrgica, Cimento e Construção Civil",3130911
2014,8,Outras Mercadorias,307568
2014,8,Minério de Ferro,31174095
2014,8,"Setor Agrícola, Extração Vegetal e Celulose",4909216
2014,9,"Setor Agrícola, Extração Vegetal e Celulose",4991017
2014,9,"Indústria Siderúrgica, Cimento e Construção Civil",3598757
2014,9,Minério de Ferro,28698100
2014,9,Outras Mercadorias,319539
2014,9,"Combustíveis, Derivados do Petróleo e Álcool",873865
2014,10,Outras Mercadorias,350872
2014,10,"Combustíveis, Derivados do Petróleo e Álcool",857770
2014,10,Minério de Ferro,33042615
2014,10,"Indústria Siderúrgica, Cimento e Construção Civil",3664285
2014,10,"Setor Agrícola, Extração Vegetal e Celulose",5055956
2014,11,Minério de Ferro,30927958
2014,11,"Indústria Siderúrgica, Cimento e Construção Civil",3377229
2014,11,"Combustíveis, Derivados do Petróleo e Álcool",828894
2014,11,"Setor Agrícola, Extração Vegetal e Celulose",4908361
2014,11,Outras Mercadorias,320842
2014,12,Minério de Ferro,33430790
2014,12,"Setor Agrícola, Extração Vegetal e Celulose",4676787
2014,12,Outras Mercadorias,310379
2014,12,"Combustíveis, Derivados do Petróleo e Álcool",770958
2014,12,"Indústria Siderúrgica, Cimento e Construção Civil",3434178
2015,1,"Combustíveis, Derivados do Petróleo e Álcool",731071
2015,1,"Setor Agrícola, Extração Vegetal e Celulose",3472179
2015,1,Outras Mercadorias,291354
2015,1,"Indústria Siderúrgica, Cimento e Construção Civil",3307019
2015,1,Minério de Ferro,30677209
2015,2,Outras Mercadorias,312027
2015,2,"Setor Agrícola, Extração Vegetal e Celulose",3678997
2015,2,"Combustíveis, Derivados do Petróleo e Álcool",684120
2015,2,Minério de Ferro,26013619
2015,2,"Indústria Siderúrgica, Cimento e Construção Civil",3221752
2015,3,"Setor Agrícola, Extração Vegetal e Celulose",5129050
2015,3,Outras Mercadorias,330278
2015,3,"Indústria Siderúrgica, Cimento e Construção Civil",3339777
2015,3,"Combustíveis, Derivados do Petróleo e Álcool",782819
2015,3,Minério de Ferro,29251224
2015,4,"Setor Agrícola, Extração Vegetal e Celulose",4828940
2015,4,Minério de Ferro,29852087
2015,4,Outras Mercadorias,316532
2015,4,"Indústria Siderúrgica, Cimento e Construção Civil",3052488
2015,4,"Combustíveis, Derivados do Petróleo e Álcool",729607
2015,5,"Setor Agrícola, Extração Vegetal e Celulose",5285545
2015,5,"Indústria Siderúrgica, Cimento e Construção Civil",3466517
2015,5,"Combustíveis, Derivados do Petróleo e Álcool",786785
2015,5,Minério de Ferro,32003713
2015,5,Outras Mercadorias,324837
2015,6,Minério de Ferro,32100849
2015,6,"Indústria Siderúrgica, Cimento e Construção Civil",3558417
2015,6,Outras Mercadorias,326660
2015,6,"Setor Agrícola, Extração Vegetal e Celulose",5350264
2015,6,"Combustíveis, Derivados do Petróleo e Álcool",788424
2015,7,Outras Mercadorias,307227
2015,7,Minério de Ferro,32812382
2015,7,"Setor Agrícola, Extração Vegetal e Celulose",5629933
2015,7,"Combustíveis, Derivados do Petróleo e Álcool",784631
2015,7,"Indústria Siderúrgica, Cimento e Construção Civil",3768936
2015,8,"Combustíveis, Derivados do Petróleo e Álcool",800935
2015,8,Minério de Ferro,31483497
2015,8,"Setor Agrícola, Extração Vegetal e Celulose",5931689
2015,8,"Indústria Siderúrgica, Cimento e Construção Civil",3235891
2015,8,Outras Mercadorias,336806
2015,9,Minério de Ferro,32644965
2015,9,"Indústria Siderúrgica, Cimento e Construção Civil",3193839
2015,9,"Combustíveis, Derivados do Petróleo e Álcool",808467
2015,9,Outras Mercadorias,335551
2015,9,"Setor Agrícola, Extração Vegetal e Celulose",5743637
2015,10,Outras Mercadorias,366315
2015,10,"Combustíveis, Derivados do Petróleo e Álcool",818299
2015,10,"Indústria Siderúrgica, Cimento e Construção Civil",3239946
2015,10,Minério de Ferro,35024653
2015,10,"Setor Agrícola, Extração Vegetal e Celulose",5783745
2015,11,"Combustíveis, Derivados do Petróleo e Álcool",783546
2015,11,Minério de Ferro,31359651
2015,11,"Setor Agrícola, Extração Vegetal e Celulose",5229606
2015,11,Outras Mercadorias,306428
2015,11,"Indústria Siderúrgica, Cimento e Construção Civil",3212141
2015,12,"Indústria Siderúrgica, Cimento e Construção Civil",3268653
2015,12,"Setor Agrícola, Extração Vegetal e Celulose",5183844
2015,12,Outras Mercadorias,314600
2015,12,"Combustíveis, Derivados do Petróleo e Álcool",723521
2015,12,Minério de Ferro,35398614
2016,1,Minério de Ferro,30144304
2016,1,"Indústria Siderúrgica, Cimento e Construção Civil",2955430
2016,1,Outras Mercadorias,263899
2016,1,"Combustíveis, Derivados do Petróleo e Álcool",677907
2016,1,"Setor Agrícola, Extração Vegetal e Celulose",3619980
2016,2,Outras Mercadorias,300845
2016,2,Minério de Ferro,29335263
2016,2,"Combustíveis, Derivados do Petróleo e Álcool",674845
2016,2,"Setor Agrícola, Extração Vegetal e Celulose",4442151
2016,2,"Indústria Siderúrgica, Cimento e Construção Civil",2892366
2016,3,"Setor Agrícola, Extração Vegetal e Celulose",5622937
2016,3,"Indústria Siderúrgica, Cimento e Construção Civil",3089216
2016,3,Outras Mercadorias,351843
2016,3,Minério de Ferro,31825407
2016,3,"Combustíveis, Derivados do Petróleo e Álcool",722241
2016,4,"Combustíveis, Derivados do Petróleo e Álcool",706714
2016,4,"Indústria Siderúrgica, Cimento e Construção Civil",2934252
2016,4,Outras Mercadorias,318343
2016,4,Minério de Ferro,32477555
2016,4,"Setor Agrícola, Extração Vegetal e Celulose",5709354
2016,5,Outras Mercadorias,311219
2016,5,Minério de Ferro,33404126
2016,5,"Setor Agrícola, Extração Vegetal e Celulose",5876133
2016,5,"Combustíveis, Derivados do Petróleo e Álcool",714024
2016,5,"Indústria Siderúrgica, Cimento e Construção Civil",2957259
2016,6,Minério de Ferro,31445406
2016,6,"Setor Agrícola, Extração Vegetal e Celulose",5169284
2016,6,Outras Mercadorias,331796
2016,6,"Combustíveis, Derivados do Petróleo e Álcool",744445
2016,6,"Indústria Siderúrgica, Cimento e Construção Civil",3168857
2016,7,Outras Mercadorias,325252
2016,7,"Indústria Siderúrgica, Cimento e Construção Civil",3236709
2016,7,"Combustíveis, Derivados do Petróleo e Álcool",736615
2016,7,Minério de Ferro,35956022
2016,7,"Setor Agrícola, Extração Vegetal e Celulose",5487418
2016,8,"Setor Agrícola, Extração Vegetal e Celulose",5717238
2016,8,Outras Mercadorias,316101
2016,8,Minério de Ferro,35608631
2016,8,"Indústria Siderúrgica, Cimento e Construção Civil",3158865
2016,8,"Combustíveis, Derivados do Petróleo e Álcool",760951
2016,9,"Setor Agrícola, Extração Vegetal e Celulose",5086691
2016,9,"Combustíveis, Derivados do Petróleo e Álcool",770356
2016,9,"Indústria Siderúrgica, Cimento e Construção Civil",3249356
2016,9,Outras Mercadorias,297902
2016,9,Minério de Ferro,34804308
2016,10,Outras Mercadorias,310296
2016,10,"Indústria Siderúrgica, Cimento e Construção Civil",3244634
2016,10,"Combustíveis, Derivados do Petróleo e Álcool",781259
2016,10,"Setor Agrícola, Extração Vegetal e Celulose",4168645
2016,10,Minério de Ferro,34669953
2016,11,"Combustíveis, Derivados do Petróleo e Álcool",719453
2016,11,Outras Mercadorias,301571
2016,11,"Setor Agrícola, Extração Vegetal e Celulose",3678957
2016,11,Minério de Ferro,33184160
2016,11,"Indústria Siderúrgica, Cimento e Construção Civil",3149034
2016,12,Outras Mercadorias,269101
2016,12,"Indústria Siderúrgica, Cimento e Construção Civil",2998598
2016,12,"Setor Agrícola, Extração Vegetal e Celulose",3547041
2016,12,Minério de Ferro,34783897
2016,12,"Combustíveis, Derivados do Petróleo e Álcool",677780
2017,1,Outras Mercadorias,269775
2017,1,"Combustíveis, Derivados do Petróleo e Álcool",703582
2017,1,"Indústria Siderúrgica, Cimento e Construção Civil",3115151
2017,1,Minério de Ferro,33301134
2017,1,"Setor Agrícola, Extração Vegetal e Celulose",3126258
2017,2,"Combustíveis, Derivados do Petróleo e Álcool",632754
2017,2,Outras Mercadorias,243398
2017,2,"Indústria Siderúrgica, Cimento e Construção Civil",2838564
2017,2,Minério de Ferro,30766158
2017,2,"Setor Agrícola, Extração Vegetal e Celulose",4671970
2017,3,"Indústria Siderúrgica, Cimento e Construção Civil",3053414
2017,3,Outras Mercadorias,319251
2017,3,Minério de Ferro,33881395
2017,3,"Setor Agrícola, Extração Vegetal e Celulose",6261633
2017,3,"Combustíveis, Derivados do Petróleo e Álcool",724243
2017,4,Minério de Ferro,31410637
2017,4,"Indústria Siderúrgica, Cimento e Construção Civil",2840024
2017,4,"Setor Agrícola, Extração Vegetal e Celulose",6103338
2017,4,"Combustíveis, Derivados do Petróleo e Álcool",662904
2017,4,Outras Mercadorias,310510
2017,5,"Indústria Siderúrgica, Cimento e Construção Civil",3156043
2017,5,Outras Mercadorias,342962
2017,5,"Setor Agrícola, Extração Vegetal e Celulose",6835944
2017,5,"Combustíveis, Derivados do Petróleo e Álcool",733299
2017,5,Minério de Ferro,35433388
2017,6,Outras Mercadorias,330314
2017,6,"Indústria Siderúrgica, Cimento e Construção Civil",3215174
2017,6,"Combustíveis, Derivados do Petróleo e Álcool",769755
2017,6,Minério de Ferro,35621688
2017,6,"Setor Agrícola, Extração Vegetal e Celulose",6698953
2017,7,"Combustíveis, Derivados do Petróleo e Álcool",801864
2017,7,Outras Mercadorias,344505
2017,7,"Indústria Siderúrgica, Cimento e Construção Civil",3217465
2017,7,Minério de Ferro,35299224
2017,7,"Setor Agrícola, Extração Vegetal e Celulose",7161506
2017,8,"Combustíveis, Derivados do Petróleo e Álcool",818632
2017,8,"Indústria Siderúrgica, Cimento e Construção Civil",3261695
2017,8,Minério de Ferro,35002893
2017,8,Outras Mercadorias,359531
2017,8,"Setor Agrícola, Extração Vegetal e Celulose",7068019
2017,9,"Indústria Siderúrgica, Cimento e Construção Civil",3366878
2017,9,Minério de Ferro,36215491
2017,9,Outras Mercadorias,318100
2017,9,"Setor Agrícola, Extração Vegetal e Celulose",7110958
2017,9,"Combustíveis, Derivados do Petróleo e Álcool",786090
2017,10,"Combustíveis, Derivados do Petróleo e Álcool",832273
2017,10,Minério de Ferro,37674361
2017,10,"Setor Agrícola, Extração Vegetal e Celulose",6880050
2017,10,"Indústria Siderúrgica, Cimento e Construção Civil",3435667
2017,10,Outras Mercadorias,326438
2017,11,"Combustíveis, Derivados do Petróleo e Álcool",710306
2017,11,Outras Mercadorias,295471
2017,11,Minério de Ferro,35411478
2017,11,"Indústria Siderúrgica, Cimento e Construção Civil",3208049
2017,11,"Setor Agrícola, Extração Vegetal e Celulose",6010023
2017,12,Minério de Ferro,36349356
2017,12,"Setor Agrícola, Extração Vegetal e Celulose",5287515
2017,12,Outras Mercadorias,281562
2017,12,"Indústria Siderúrgica, Cimento e Construção Civil",3337066
2017,12,"Combustíveis, Derivados do Petróleo e Álcool",691701
2018,1,"Combustíveis, Derivados do Petróleo e Álcool",681273
2018,1,"Indústria Siderúrgica, Cimento e Construção Civil",3179845
2018,1,Minério de Ferro,34329583
2018,1,"Setor Agrícola, Extração Vegetal e Celulose",3775147
2018,1,Outras Mercadorias,252978
2018,2,"Setor Agrícola, Extração Vegetal e Celulose",4905870
2018,2,"Indústria Siderúrgica, Cimento e Construção Civil",2890428
2018,2,"Combustíveis, Derivados do Petróleo e Álcool",679040
2018,2,Outras Mercadorias,345574
2018,2,Minério de Ferro,27979595
2018,3,"Indústria Siderúrgica, Cimento e Construção Civil",3198283
2018,3,"Combustíveis, Derivados do Petróleo e Álcool",729091
2018,3,"Setor Agrícola, Extração Vegetal e Celulose",7025875
2018,3,Minério de Ferro,32516052
2018,3,Outras Mercadorias,357344
2018,4,Minério de Ferro,33234244
2018,4,Outras Mercadorias,352784
2018,4,"Combustíveis, Derivados do Petróleo e Álcool",674571
2018,4,"Setor Agrícola, Extração Vegetal e Celulose",6893110
2018,4,"Indústria Siderúrgica, Cimento e Construção Civil",3001813
2018,5,"Indústria Siderúrgica, Cimento e Construção Civil",3020406
2018,5,"Combustíveis, Derivados do Petróleo e Álcool",680751
2018,5,"Setor Agrícola, Extração Vegetal e Celulose",6403516
2018,5,Outras Mercadorias,314470
2018,5,Minério de Ferro,37831729
2018,6,Outras Mercadorias,349179
2018,6,"Indústria Siderúrgica, Cimento e Construção Civil",3105615
2018,6,"Combustíveis, Derivados do Petróleo e Álcool",768987
2018,6,"Setor Agrícola, Extração Vegetal e Celulose",6889176
2018,6,Minério de Ferro,38349980
2018,7,"Indústria Siderúrgica, Cimento e Construção Civil",3126555
2018,7,"Combustíveis, Derivados do Petróleo e Álcool",761934
2018,7,"Setor Agrícola, Extração Vegetal e Celulose",7388224
2018,7,Outras Mercadorias,399783
2018,7,Minério de Ferro,39320744
2018,8,"Setor Agrícola, Extração Vegetal e Celulose",8033109
2018,8,Outras Mercadorias,398941
2018,8,"Indústria Siderúrgica, Cimento e Construção Civil",3314144
2018,8,"Combustíveis, Derivados do Petróleo e Álcool",788152
2018,8,Minério de Ferro,40805800
2018,9,"Indústria Siderúrgica, Cimento e Construção Civil",3518532
2018,9,"Setor Agrícola, Extração Vegetal e Celulose",8294281
2018,9,Outras Mercadorias,393924
2018,9,"Combustíveis, Derivados do Petróleo e Álcool",796007
2018,9,Minério de Ferro,38387368
2018,10,Minério de Ferro,40167763
2018,10,"Combustíveis, Derivados do Petróleo e Álcool",756590
2018,10,Outras Mercadorias,412317
2018,10,"Setor Agrícola, Extração Vegetal e Celulose",6572865
2018,10,"Indústria Siderúrgica, Cimento e Construção Civil",3479309
2018,11,"Combustíveis, Derivados do Petróleo e Álcool",733675
2018,11,Outras Mercadorias,406225
2018,11,Minério de Ferro,38123060
2018,11,"Indústria Siderúrgica, Cimento e Construção Civil",3149067
2018,11,"Setor Agrícola, Extração Vegetal e Celulose",6646049
2018,12,"Setor Agrícola, Extração Vegetal e Celulose",6112802
2018,12,"Indústria Siderúrgica, Cimento e Construção Civil",3176916
2018,12,Minério de Ferro,40330508
2018,12,Outras Mercadorias,386453
2018,12,"Combustíveis, Derivados do Petróleo e Álcool",723665
2019,1,Minério de Ferro,35467730
2019,1,"Setor Agrícola, Extração Vegetal e Celulose",4460844
2019,1,"Combustíveis, Derivados do Petróleo e Álcool",703678
2019,1,"Indústria Siderúrgica, Cimento e Construção Civil",3130228
2019,1,Outras Mercadorias,377966
2019,2,"Combustíveis, Derivados do Petróleo e Álcool",750629
2019,2,Minério de Ferro,28441357
2019,2,Outras Mercadorias,413311
2019,2,"Setor Agrícola, Extração Vegetal e Celulose",6718457
2019,2,"Indústria Siderúrgica, Cimento e Construção Civil",3410605
2019,3,Minério de Ferro,24023027
2019,3,Outras Mercadorias,438237
2019,3,"Combustíveis, Derivados do Petróleo e Álcool",716997
2019,3,"Indústria Siderúrgica, Cimento e Construção Civil",3005753
2019,3,"Setor Agrícola, Extração Vegetal e Celulose",7082014
2019,4,"Setor Agrícola, Extração Vegetal e Celulose",6326290
2019,4,"Combustíveis, Derivados do Petróleo e Álcool",706792
2019,4,"Indústria Siderúrgica, Cimento e Construção Civil",2997372
2019,4,Minério de Ferro,20717292
2019,4,Outras Mercadorias,418142
2019,5,"Indústria Siderúrgica, Cimento e Construção Civil",3240812
2019,5,"Setor Agrícola, Extração Vegetal e Celulose",6607846
2019,5,"Combustíveis, Derivados do Petróleo e Álcool",711770
2019,5,Outras Mercadorias,453772
2019,5,Minério de Ferro,30105526
2019,6,"Combustíveis, Derivados do Petróleo e Álcool",705854
2019,6,Outras Mercadorias,398456
2019,6,Minério de Ferro,32262915
2019,6,"Setor Agrícola, Extração Vegetal e Celulose",7210818
2019,6,"Indústria Siderúrgica, Cimento e Construção Civil",3097096
2019,7,"Indústria Siderúrgica, Cimento e Construção Civil",3224101
2019,7,Outras Mercadorias,441031
2019,7,Minério de Ferro,33213068
2019,7,"Combustíveis, Derivados do Petróleo e Álcool",744179
2019,7,"Setor Agrícola, Extração Vegetal e Celulose",7545775
2019,8,Outras Mercadorias,465029
2019,8,"Combustíveis, Derivados do Petróleo e Álcool",760845
2019,8,"Indústria Siderúrgica, Cimento e Construção Civil",3163309
2019,8,Minério de Ferro,34880604
2019,8,"Setor Agrícola, Extração Vegetal e Celulose",7768983
2019,9,"Indústria Siderúrgica, Cimento e Construção Civil",3048813
2019,9,"Combustíveis, Derivados do Petróleo e Álcool",717158
2019,9,Outras Mercadorias,452149
2019,9,Minério de Ferro,32921969
2019,9,"Setor Agrícola, Extração Vegetal e Celulose",7158293
2019,10,"Combustíveis, Derivados do Petróleo e Álcool",737643
2019,10,Minério de Ferro,32529394
2019,10,Outras Mercadorias,464394
2019,10,"Indústria Siderúrgica, Cimento e Construção Civil",3055255
2019,10,"Setor Agrícola, Extração Vegetal e Celulose",7307316
2019,11,"Indústria Siderúrgica, Cimento e Construção Civil",3071904
2019,11,"Combustíveis, Derivados do Petróleo e Álcool",672880
2019,11,Minério de Ferro,30089797
2019,11,"Setor Agrícola, Extração Vegetal e Celulose",6832256
2019,11,Outras Mercadorias,455463
2019,12,Minério de Ferro,28062664
2019,12,"Setor Agrícola, Extração Vegetal e Celulose",5075173
2019,12,"Indústria Siderúrgica, Cimento e Construção Civil",3240294
2019,12,"Combustíveis, Derivados do Petróleo e Álcool",652895
2019,12,Outras Mercadorias,434438
2020,1,"Setor Agrícola, Extração Vegetal e Celulose",3666461
2020,1,Outras Mercadorias,430071
2020,1,Minério de Ferro,24295094
2020,1,"Combustíveis, Derivados do Petróleo e Álcool",665021
2020,1,"Indústria Siderúrgica, Cimento e Construção Civil",2916313
2020,2,"Combustíveis, Derivados do Petróleo e Álcool",650286
2020,2,"Setor Agrícola, Extração Vegetal e Celulose",5813341
2020,2,"Indústria Siderúrgica, Cimento e Construção Civil",2781072
2020,2,Minério de Ferro,24433605
2020,2,Outras Mercadorias,416184
2020,3,Outras Mercadorias,425795
2020,3,Minério de Ferro,21506529
2020,3,"Indústria Siderúrgica, Cimento e Construção Civil",2939011
2020,3,"Combustíveis, Derivados do Petróleo e Álcool",530592
2020,3,"Setor Agrícola, Extração Vegetal e Celulose",5773438
2020,4,"Setor Agrícola, Extração Vegetal e Celulose",8014899
2020,4,"Indústria Siderúrgica, Cimento e Construção Civil",2832668
2020,4,Minério de Ferro,25581371
2020,4,Outras Mercadorias,391628
2020,4,"Combustíveis, Derivados do Petróleo e Álcool",523743
2020,5,Outras Mercadorias,369047
2020,5,"Indústria Siderúrgica, Cimento e Construção Civil",2948147
2020,5,Minério de Ferro,26781783
2020,5,"Combustíveis, Derivados do Petróleo e Álcool",636284
2020,5,"Setor Agrícola, Extração Vegetal e Celulose",8337317
2020,6,"Combustíveis, Derivados do Petróleo e Álcool",760449
2020,6,Minério de Ferro,31550665
2020,6,Outras Mercadorias,417673
2020,6,"Setor Agrícola, Extração Vegetal e Celulose",7816674
2020,6,"Indústria Siderúrgica, Cimento e Construção Civil",3063014
2020,7,"Combustíveis, Derivados do Petróleo e Álcool",693387
2020,7,Minério de Ferro,31539248
2020,7,"Setor Agrícola, Extração Vegetal e Celulose",8415737
2020,7,"Indústria Siderúrgica, Cimento e Construção Civil",3012054
2020,7,Outras Mercadorias,464907
2020,8,"Setor Agrícola, Extração Vegetal e Celulose",8240805
2020,8,"Combustíveis, Derivados do Petróleo e Álcool",719900
2020,8,Outras Mercadorias,443756
2020,8,"Indústria Siderúrgica, Cimento e Construção Civil",3231562
2020,8,Minério de Ferro,35841814
2020,9,"Setor Agrícola, Extração Vegetal e Celulose",7982328
2020,9,Outras Mercadorias,462495
2020,9,"Indústria Siderúrgica, Cimento e Construção Civil",3387916
2020,9,"Combustíveis, Derivados do Petróleo e Álcool",751516
2020,9,Minério de Ferro,35661744
2020,10,"Indústria Siderúrgica, Cimento e Construção Civil",3319473
2020,10,"Combustíveis, Derivados do Petróleo e Álcool",800150
2020,10,Outras Mercadorias,447798
2020,10,Minério de Ferro,34502285
2020,10,"Setor Agrícola, Extração Vegetal e Celulose",7625949
2020,11,"Setor Agrícola, Extração Vegetal e Celulose",6649559
2020,11,"Indústria Siderúrgica, Cimento e Construção Civil",3177481
2020,11,Outras Mercadorias,472488
2020,11,"Combustíveis, Derivados do Petróleo e Álcool",762360
2020,11,Minério de Ferro,31262042
2020,12,"Setor Agrícola, Extração Vegetal e Celulose",5484935
2020,12,"Combustíveis, Derivados do Petróleo e Álcool",701152
2020,12,"Indústria Siderúrgica, Cimento e Construção Civil",3142078
2020,12,Minério de Ferro,32708528
2020,12,Outras Mercadorias,445389
2021,1,Outras Mercadorias,418935
2021,1,"Indústria Siderúrgica, Cimento e Construção Civil",3015110
2021,1,"Setor Agrícola, Extração Vegetal e Celulose",3053087
2021,1,"Combustíveis, Derivados do Petróleo e Álcool",694033
2021,1,Minério de Ferro,30782515
2021,2,Outras Mercadorias,418523
2021,2,"Setor Agrícola, Extração Vegetal e Celulose",5622029
2021,2,"Combustíveis, Derivados do Petróleo e Álcool",670401
2021,2,"Indústria Siderúrgica, Cimento e Construção Civil",2814943
2021,2,Minério de Ferro,25497482
2021,3,"Indústria Siderúrgica, Cimento e Construção Civil",3233502
2021,3,Minério de Ferro,26982106
2021,3,"Combustíveis, Derivados do Petróleo e Álcool",714131
2021,3,Outras Mercadorias,436913
2021,3,"Setor Agrícola, Extração Vegetal e Celulose",8112315
2021,4,Outras Mercadorias,474667
2021,4,"Setor Agrícola, Extração Vegetal e Celulose",8248814
2021,4,Minério de Ferro,27287482
2021,4,"Combustíveis, Derivados do Petróleo e Álcool",709254
2021,4,"Indústria Siderúrgica, Cimento e Construção Civil",3084095
2021,5,Outras Mercadorias,491847
2021,5,Minério de Ferro,32140810
2021,5,"Setor Agrícola, Extração Vegetal e Celulose",8651804
2021,5,"Combustíveis, Derivados do Petróleo e Álcool",760019
2021,5,"Indústria Siderúrgica, Cimento e Construção Civil",3204412
2021,6,"Setor Agrícola, Extração Vegetal e Celulose",7749813
2021,6,"Combustíveis, Derivados do Petróleo e Álcool",740551
2021,6,Outras Mercadorias,459110
2021,6,"Indústria Siderúrgica, Cimento e Construção Civil",3109014
2021,6,Minério de Ferro,32874406
2021,7,Outras Mercadorias,476644
2021,7,"Setor Agrícola, Extração Vegetal e Celulose",7876097
2021,7,Minério de Ferro,33406601
2021,7,"Combustíveis, Derivados do Petróleo e Álcool",765231
2021,7,"Indústria Siderúrgica, Cimento e Construção Civil",3256944
2021,8,"Combustíveis, Derivados do Petróleo e Álcool",795913
2021,8,Minério de Ferro,36228862
2021,8,Outras Mercadorias,491807
2021,8,"Setor Agrícola, Extração Vegetal e Celulose",7437622
2021,8,"Indústria Siderúrgica, Cimento e Construção Civil",3270999
2021,9,"Combustíveis, Derivados do Petróleo e Álcool",764094
2021,9,Minério de Ferro,35289118
2021,9,"Setor Agrícola, Extração Vegetal e Celulose",6370780
2021,9,"Indústria Siderúrgica, Cimento e Construção Civil",3265178
2021,9,Outras Mercadorias,461148
2021,10,Outras Mercadorias,440220
2021,10,"Indústria Siderúrgica, Cimento e Construção Civil",3140838
2021,10,Minério de Ferro,30965043
2021,10,"Setor Agrícola, Extração Vegetal e Celulose",5968012
2021,10,"Combustíveis, Derivados do Petróleo e Álcool",766203
2021,11,Minério de Ferro,30973197
2021,11,Outras Mercadorias,460788
2021,11,"Combustíveis, Derivados do Petróleo e Álcool",718508
2021,11,"Indústria Siderúrgica, Cimento e Construção Civil",3126683
2021,11,"Setor Agrícola, Extração Vegetal e Celulose",6151659
2021,12,"Setor Agrícola, Extração Vegetal e Celulose",6113607
2021,12,Outras Mercadorias,459323
2021,12,"Indústria Siderúrgica, Cimento e Construção Civil",3011171
2021,12,Minério de Ferro,31168340
2021,12,"Combustíveis, Derivados do Petróleo e Álcool",723653
2022,1,Minério de Ferro,25965096
2022,1,Outras Mercadorias,415634
2022,1,"Setor Agrícola, Extração Vegetal e Celulose",4781552
2022,1,"Combustíveis, Derivados do Petróleo e Álcool",706760
2022,1,"Indústria Siderúrgica, Cimento e Construção Civil",2617569
2022,2,Minério de Ferro,23924278
2022,2,Outras Mercadorias,450196
2022,2,"Combustíveis, Derivados do Petróleo e Álcool",700074
2022,2,"Indústria Siderúrgica, Cimento e Construção Civil",2581211
2022,2,"Setor Agrícola, Extração Vegetal e Celulose",6971931
2022,3,"Combustíveis, Derivados do Petróleo e Álcool",736317
2022,3,"Indústria Siderúrgica, Cimento e Construção Civil",3117799
2022,3,Minério de Ferro,26065831
2022,3,Outras Mercadorias,526995
2022,3,"Setor Agrícola, Extração Vegetal e Celulose",8245562
2022,4,Outras Mercadorias,467684
2022,4,"Combustíveis, Derivados do Petróleo e Álcool",704571
2022,4,"Setor Agrícola, Extração Vegetal e Celulose",7609171
2022,4,Minério de Ferro,26747401
2022,4,"Indústria Siderúrgica, Cimento e Construção Civil",2845510
2022,5,"Combustíveis, Derivados do Petróleo e Álcool",780763
2022,5,Minério de Ferro,29154209
2022,5,Outras Mercadorias,503799
2022,5,"Setor Agrícola, Extração Vegetal e Celulose",8023815
2022,5,"Indústria Siderúrgica, Cimento e Construção Civil",3045777
2022,6,Minério de Ferro,32104457
2022,6,"Indústria Siderúrgica, Cimento e Construção Civil",3125987
2022,6,Outras Mercadorias,472656
2022,6,"Setor Agrícola, Extração Vegetal e Celulose",7921303
2022,6,"Combustíveis, Derivados do Petróleo e Álcool",748967
2022,7,"Combustíveis, Derivados do Petróleo e Álcool",817944
2022,7,"Indústria Siderúrgica, Cimento e Construção Civil",3143704
2022,7,"Setor Agrícola, Extração Vegetal e Celulose",8874963
2022,7,Minério de Ferro,33626941
2022,7,Outras Mercadorias,492729
2022,8,Outras Mercadorias,510604
2022,8,"Combustíveis, Derivados do Petróleo e Álcool",820445
2022,8,Minério de Ferro,34248696
2022,8,"Setor Agrícola, Extração Vegetal e Celulose",8818347
2022,8,"Indústria Siderúrgica, Cimento e Construção Civil",3244781
2022,9,Minério de Ferro,33006734
2022,9,"Indústria Siderúrgica, Cimento e Construção Civil",2919469
2022,9,Outras Mercadorias,522419
2022,9,"Combustíveis, Derivados do Petróleo e Álcool",767123
2022,9,"Setor Agrícola, Extração Vegetal e Celulose",8407459
2022,10,"Combustíveis, Derivados do Petróleo e Álcool",800632
2022,10,"Indústria Siderúrgica, Cimento e Construção Civil",2986085
2022,10,Minério de Ferro,32976408
2022,10,Outras Mercadorias,546727
2022,10,"Setor Agrícola, Extração Vegetal e Celulose",8355399
2022,11,"Setor Agrícola, Extração Vegetal e Celulose",7192614
2022,11,"Combustíveis, Derivados do Petróleo e Álcool",733566
2022,11,"Indústria Siderúrgica, Cimento e Construção Civil",2936572
2022,11,Minério de Ferro,30005525
2022,11,Outras Mercadorias,509762
2022,12,Outras Mercadorias,486496
2022,12,"Indústria Siderúrgica, Cimento e Construção Civil",2733814
2022,12,"Setor Agrícola, Extração Vegetal e Celulose",6292868
2022,12,"Combustíveis, Derivados do Petróleo e Álcool",674197
2022,12,Minério de Ferro,31262362
2023,1,Outras Mercadorias,427876
2023,1,Minério de Ferro,25654417
2023,1,"Setor Agrícola, Extração Vegetal e Celulose",4767097
2023,1,"Combustíveis, Derivados do Petróleo e Álcool",570184
2023,1,"Indústria Siderúrgica, Cimento e Construção Civil",2775093
2023,2,Minério de Ferro,24414009
2023,2,"Setor Agrícola, Extração Vegetal e Celulose",6753299
2023,2,Outras Mercadorias,437859
2023,2,"Indústria Siderúrgica, Cimento e Construção Civil",2539604
2023,2,"Combustíveis, Derivados do Petróleo e Álcool",605616
